point_id,source_numeric_id,lon,lat
M001,1,121.63584059987,30.0338775808647
M002,2,121.639167003666,30.0357585223213
M003,3,121.635952175215,30.0392988587744
M004,4,121.632721903984,30.0375413820347
M005,5,121.629274821918,30.0359798655261
M006,6,121.626947714634,30.0403187869523
M007,7,121.629185056677,30.0413658511124
M008,8,121.632526355838,30.0434788309452
M009,9,121.636212524641,30.0452145782441
M010,10,121.639281760479,30.0411729377598
M011,11,121.642537709643,30.0375811602988
M012,12,121.642928481656,30.0318979550106
M013,13,121.646276103992,30.0338698034176
M014,14,121.648232334924,30.03020409151
M015,15,121.645380364253,30.0282346544921
M016,16,121.642179398967,30.0263763509892
M017,17,121.639406332691,30.0246208727444
M018,18,121.63921631102,30.0296104501647
M019,19,121.636041727943,30.0284972921376
M020,20,121.633039404786,30.0321133410954
M021,21,121.660847915138,30.0048957735316
M022,22,121.662476103031,30.0066100896434
M023,23,121.658944581063,30.0105005368524
M024,24,121.6538133939,30.0081316619653
M025,25,121.651314057318,30.0107159238968
M026,26,121.653866851177,30.0127884369851
M027,27,121.656556690663,30.0144964021475
M028,28,121.657297633698,30.0170825371483
M029,29,121.656051021911,30.0210972764698
M030,31,121.653167380819,30.0262172223489
M031,32,121.654619250891,30.0296633224337
M032,33,121.653619875196,30.0317515062045
M033,34,121.658719941226,30.0336941309448
M034,35,121.661620646135,30.0356668932992
M035,36,121.657330148637,30.0449667895274
M036,37,121.65099416286,30.053477212238
M037,38,121.64728841105,30.0573809315984
M038,39,121.642979025901,30.055105484778
M039,40,121.638198609597,30.0517521965542
M040,41,121.638495427989,30.047836751815
M041,42,121.644450670581,30.0411176169489
M042,44,121.650375076552,30.0289891319071
M043,46,121.640319184304,30.0155519011396
M044,47,121.638178798912,30.012573252636
M045,48,121.635593758398,30.010915214516
M046,49,121.633452406022,30.0071115426945
M047,50,121.63933889218,29.9996488363888
M048,51,121.644904176484,29.9923130566021
M049,52,121.647932877253,29.9884283341429
M050,53,121.651381376498,29.9904767637147
M051,54,121.655234513114,29.9928122245133
M052,55,121.658432174207,29.9966587003723
M053,56,121.656117086075,29.9995245388738
M054,57,121.649266837761,29.9945452707584
M055,58,121.646341514935,29.9979189354772
M056,59,121.652535020346,30.0021782607155
M057,60,121.647061218146,30.0037736111034
M058,62,121.63850722804,30.0075501595373
M059,63,121.642287757307,30.0102350296173
M060,64,121.646904696312,30.0072984396849
M061,65,121.673556689672,29.9874456003647
M062,66,121.67680220527,29.9897114757752
M063,67,121.673564768772,29.9936092644037
M064,68,121.669699408039,29.9915309903126
M065,69,121.665476138241,29.9892895601555
M066,70,121.661809267646,29.9936454826226
M067,71,121.666732741755,29.9964614926979
M068,72,121.664776237835,30.0038358432909
M069,73,121.66293968003,30.0124556456365
M070,74,121.666380507553,30.0146423552447
M071,75,121.665861045889,30.0219910687027
M072,76,121.661989050195,30.0201396186248
M073,77,121.657124693334,30.0260596243531
M074,79,121.664380477024,30.0301150360513
M075,80,121.669634830633,30.0241257711119
M076,81,121.673565361266,30.0190617046581
M077,82,121.670602327361,30.0185682014747
M078,83,121.672136907241,30.0142499551951
M079,84,121.669610899586,30.0128828713377
M080,85,121.665562353315,30.0106769449763
M081,86,121.668825377337,30.000020742895
M082,87,121.677301564784,29.9944863675762
M083,88,121.682828329049,29.9905704698702
M084,89,121.686878349325,29.9879555778538
M085,90,121.692237414222,29.9828901299551
M086,91,121.68733616551,29.9779917092281
M087,92,121.680054498857,29.9710886104915
M088,93,121.676055870694,29.9751112836644
M089,94,121.684308242211,29.9802601409047
M090,95,121.681109885342,29.9845682367548
M091,96,121.672879564862,29.9799417346017
M092,97,121.664521331071,29.9744690431682
M093,98,121.653525556115,29.9858093255171
M094,99,121.658112150483,29.9893812553614
M095,100,121.667499176141,29.9814880577351
